imo_num,pos_speed,pos_lat,pos_lon,pos_navState
8917584,0,53.91059,-166.51158167,5
8904941,0,58.94160667,-160.34446,1
7907996,0,21.31045667,-157.87561167,5
8919257,16.1,-19.23923167,-156.30016333,0
7729461,19.4,22.57195167,-154.81901,0
8603509,0,-16.64032,-151.43645833,1
8419154,0,61.24,-149.88666667,5
7617890,19.5,29.42413667,-143.95627167,0
8419142,17.8,52.49879,-141.18862667,0
7334204,21.3,31.54673833,-139.67765833,0
8419166,19,53.94166667,-135.86,0
5218183,16,58.40666667,-134.90166667,0
7320095,18.5,55.47713833,-132.07138667,0
8907876,13.6,34.66078167,-129.63393,0
7617905,20.7,31.501355,-128.49373333,0
7908005,21.1,31.12995833,-128.15499833,0
7926174,14.1,45.03143333,-126.75128333,0
7367471,15.5,37.93798333,-123.14408667,0
8835358,13.6,48.64046333,-123.22816167,0
5076949,15.2,48.34985833,-123.40031167,0
6413663,19.3,48.90516667,-123.25846333,0
7902283,18.6,49.33339667,-123.34465833,0
7411155,20.1,49.42361,-123.443115,0
7411143,0,49.193865,-123.95466333,0
8918215,0.1,49.68421,-123.16955833,5
7306647,0,49.14375833,-123.87113667,0
7902221,0,49.306025,-123.07812167,5
7414080,18.7,49.09603333,-123.42985,0
8420787,0,49.68333333,-123.17333333,5
7729459,0,37.76471667,-122.38313833,0
7223314,0,37.81833333,-122.31,5
6801664,0,37.77391667,-122.305545,5
7802718,0,37.772,-122.30436,5
6507921,0,45.56862333,-122.72268167,5
7808140,0,47.52318833,-122.39681,0
8200826,0,49.15436333,-122.96000333,5
7390129,0,33.74406833,-118.22667333,5
7390454,0,32.68470333,-117.13482167,5
8606056,0.3,32.63991167,-117.17766667,0
7929970,0,24.39566833,-110.67792333,5
8411267,12.6,24.39233667,-109.94510667,0
7636080,0,25.58827667,-109.056305,1
8914831,0,23.15514833,-106.416905,15
8709573,0,23.18829167,-106.41336333,5
8300389,10.8,15.69531167,-98.83965833,0
8673310,0,20.93938333,-97.37338333,3
8757477,0,20.94490333,-97.39454333,3
8758287,0.2,22.5682,-97.841585,15
7359474,0,22.22356667,-97.89443333,5
5320522,0.1,22.24275,-97.82454167,0
7819539,2.8,27.84125833,-97.072205,3
7926148,0,27.84333333,-97.52166667,5
6806444,0,28.88071333,-95.17483,1
7602259,0.1,30.077875,-94.09069333,0
8316699,0,30.0755,-94.08116667,5
8503539,0,18.65520833,-93.33657333,3
8211291,0,30.02644167,-93.99904833,0
8211306,0,30.02652167,-93.99934,5
7389493,0,19.68595167,-92.087435,15
7708302,0.1,19.59967,-92.29415,1
8641939,0.1,19.42973667,-92.075245,3
8770273,2.5,19.62774667,-92.35180833,3
8900335,16.3,26.21235,-92.98948333,0
7729057,0,46.74289667,-92.11523333,5
5148417,0,46.76,-92.10166667,5
6800919,0,46.73573833,-92.088365,5
7514696,0.1,46.7519,-92.13541667,0
7105495,0,46.69666667,-92.01833333,5
8770285,0.1,18.79999833,-91.83393333,1
8512279,0,19.03333333,-91.81833333,1
8420115,0.1,27.72978,-91.108175,3
8918265,0.1,26.69631833,-90.51016833,5
7715290,0,29.95777333,-90.03199667,15
8106056,7,25.875,-89.84166667,0
7915838,2.3,28.92564333,-89.41519333,3
7923184,0.8,29.18647,-89.26585667,3
7901148,12.5,47.44338167,-89.45662833,0
5105831,0,48.44906667,-89.18356667,0
8609292,10.9,-11.27210833,-88.79898167,0
8012566,8,21.66833333,-88.885,0
8106068,7.5,30.55324167,-88.02551667,0
8616556,0,30.35588333,-88.56623833,1
7423392,12,47.645,-88.72166667,0
8913162,14,24.63365167,-87.88293333,0
7514713,13.2,41.75224333,-87.17641667,0
7366362,12,41.77,-87.295,0
5385625,0,41.63666667,-87.14666667,5
5389554,0,41.675,-87.43666667,0
7625952,13.3,41.76433333,-87.27913833,0
7390272,12.8,42.27827333,-87.35687667,0
5173670,0,44.83979167,-87.38512,0
5097450,0,46.57833333,-87.38666667,0
5322518,13,47.43666667,-87.445,0
8700242,12.3,7.615735,-86.79989833,0
8203634,12.1,20.92575,-86.77846667,1
8513467,19.3,23.43174667,-86.81574,0
8700773,20,24.67166667,-86.09666667,0
